subject,emotions1,emotions2,emotions3,emotions4,emotions5,emotions6,emotions7,psychdistance1,psychdistance2,psychdistance3,liking1,liking2,liking3,liking4,liking5,humor1,humor2,humor3,condition
301,4,4,4,4,4,4,4,6,7,7,4,4,5,1,4,1,1,5,Regular news UK
302,2,4,5,2,4,4,4,4,6,6,6,2,5,3,2,2,2,4,Regular news UK
303,3,2,6,2,6,4,5,2,6,6,5,6,6,3,3,3,3,2,Regular news UK
304,2,2,1,2,5,5,7,1,5,1,3,2,1,1,2,7,7,5,Satire UK
305,4,4,2,2,5,4,5,2,6,2,3,3,2,4,1,6,6,3,Satire UK
306,2,3,4,3,4,4,4,6,7,7,1,4,1,2,3,2,4,3,Regular news NZ
307,4,3,4,2,2,2,3,2,2,2,2,4,2,1,2,5,5,4,Satire NZ
308,2,4,4,3,4,4,3,1,5,5,3,2,4,2,2,2,2,2,Regular news UK
309,4,4,4,4,4,4,4,2,2,2,2,4,2,4,2,2,2,2,Satire UK
310,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,4,4,4,Regular news NZ
311,4,4,4,4,4,4,4,2,5,5,4,4,5,4,4,4,4,4,Regular news UK
312,4,4,4,4,4,4,4,2,5,2,4,4,4,3,2,2,2,3,Regular news UK
313,2,5,2,3,5,4,4,5,2,5,3,1,2,2,2,5,5,5,Satire UK
314,1,1,2,3,1,2,1,5,6,3,5,5,5,3,4,2,3,3,Regular news UK
315,1,2,5,2,4,2,5,7,7,6,6,4,6,1,1,1,1,1,Satire UK
316,4,2,2,5,2,2,4,2,6,2,2,2,2,2,1,2,6,2,Satire UK
317,2,4,2,2,2,2,5,4,6,2,5,6,5,5,4,6,6,6,Satire UK
318,2,4,4,4,4,4,4,1,5,1,4,4,4,4,2,2,2,2,Satire UK
319,4,4,4,4,4,4,4,1,7,1,4,4,4,4,4,4,4,4,Satire UK
320,1,1,1,1,1,1,1,2,2,2,2,2,3,1,2,2,2,2,Satire NZ
321,4,4,4,5,5,2,5,6,6,6,5,4,6,4,4,2,3,3,Satire NZ
322,4,2,5,3,5,4,3,3,3,5,2,3,3,2,4,1,3,3,Satire UK
323,4,3,5,4,4,3,5,5,5,3,6,5,6,5,2,1,2,4,Regular news NZ
324,2,2,2,3,4,5,5,3,6,4,5,5,5,5,4,5,5,4,Satire UK
325,2,3,2,3,1,2,5,6,7,2,6,4,5,2,2,5,6,4,Satire UK
326,1,1,5,2,5,5,6,6,6,6,5,2,5,2,2,2,2,2,Regular news UK
327,5,5,4,4,6,5,4,7,5,4,5,4,6,4,4,2,2,4,Satire UK
328,2,3,4,2,2,3,2,1,5,1,1,1,1,1,1,5,5,5,Satire NZ
329,1,3,1,1,1,5,1,3,7,1,5,1,2,1,2,1,1,1,Satire NZ
330,4,4,4,4,1,1,4,2,6,2,2,2,2,2,2,1,2,2,Regular news UK
331,4,4,4,4,2,2,2,4,6,1,4,4,4,4,4,6,6,6,Satire UK
332,5,3,5,4,2,2,5,6,7,7,5,4,6,2,5,1,1,3,Regular news NZ
333,4,2,4,2,4,3,4,2,7,5,4,1,4,2,2,5,5,1,Satire UK
334,4,4,4,4,4,4,4,4,6,2,1,4,4,4,4,4,4,4,Regular news NZ
335,3,3,3,3,4,5,5,5,6,5,4,2,4,3,3,5,5,4,Regular news UK
336,1,2,3,6,1,5,2,5,6,6,6,5,7,5,4,5,7,5,Satire NZ
337,2,4,5,4,1,4,5,2,6,2,6,1,5,2,2,2,4,2,Regular news UK
338,1,2,2,1,4,1,1,3,2,4,5,4,2,2,2,4,6,2,Satire NZ
339,2,4,2,2,2,2,2,5,7,2,6,2,6,2,2,2,1,1,Regular news UK
340,2,2,3,3,5,5,6,6,6,6,7,5,7,6,2,1,5,6,Regular news NZ
341,2,2,2,4,5,4,5,5,5,5,6,5,6,5,3,2,2,2,Regular news UK
342,2,2,4,1,7,5,7,7,7,7,6,2,6,2,1,1,3,3,Regular news NZ
343,2,1,2,2,2,3,3,6,6,2,3,3,3,4,3,3,4,3,Satire NZ
344,5,4,4,4,5,3,6,5,7,5,6,5,5,3,3,2,2,3,Regular news NZ
345,4,4,5,2,5,2,2,5,2,2,6,4,6,4,4,2,4,4,Satire NZ
346,3,5,5,2,2,1,1,5,5,2,5,4,5,3,4,2,5,4,Satire NZ
347,3,4,5,3,3,3,3,5,5,5,4,5,5,3,3,3,4,5,Regular news NZ
348,3,4,5,3,2,2,4,5,5,5,3,4,4,3,4,2,2,3,Satire UK
349,2,5,2,2,2,5,3,5,6,6,5,4,5,2,2,2,5,4,Satire UK
350,3,5,3,4,1,1,4,2,5,2,5,3,5,4,2,2,3,5,Satire UK
351,1,1,2,3,5,5,5,6,7,5,3,1,5,1,1,1,1,1,Regular news UK
352,3,4,3,3,4,5,4,3,3,3,4,4,4,4,4,4,4,3,Satire UK
353,1,1,1,1,1,1,1,1,4,1,4,4,3,4,4,4,4,4,Regular news UK
354,3,5,1,3,1,3,5,2,2,2,3,1,3,4,3,5,1,1,Regular news NZ
355,4,4,4,4,1,1,1,6,6,5,6,4,5,3,3,1,4,3,Regular news NZ
356,3,4,2,4,3,2,3,3,5,3,3,4,4,2,1,1,1,1,Satire NZ
357,4,4,5,4,5,5,2,6,6,6,4,4,5,5,3,1,4,5,Regular news NZ
358,1,1,2,1,5,2,3,6,6,6,4,4,4,1,1,1,1,3,Regular news NZ
